,Unnamed: 0,First,Last,Year,Tm,Pos,Age,Player,Targets,Receptions,RecYards,RecTD,Ctch%,RushAtt,RushYards,RushTD,Fumbles,Experience,FantasyPoints,TeamPPG,teamOPPG,TeamYPG,TeamPassPct
0,0,LaDainian,Tomlinson,2006,LA Chargers,RB,27.0,LaDainian Tomlinson,73.48936170212765,51.63829787234042,392.6595744680851,1.680851063829787,70.7,339.0,1421.468085106383,17.680851063829788,3.9574468085106393,6.0,481.1,26.1,19.5,347.9,54.4
1,1,Christian,McCaffrey,2019,Carolina,RB,23.0,Christian McCaffrey,120.33333333333331,98.0,795.0,5.666666666666667,81.13333333333333,185.0,877.0,5.333333333333333,3.333333333333333,3.0,469.2,23.5,23.9,373.3,58.85
2,2,Steven,Jackson,2006,LA Rams,RB,23.0,Steven Jackson,45.13636363636363,35.36363636363637,278.3181818181818,1.3636363636363635,78.51818181818182,215.8181818181818,927.318181818182,6.727272727272728,2.363636363636364,3.0,415.4,22.7,26.8,347.8,62.93
3,3,David,Johnson,2016,Arizona,RB,25.0,David Johnson,57.0,36.0,457.0,4.0,63.2,125.0,581.0,8.0,4.0,2.0,405.8,29.4,21.2,399.3,58.16
4,4,Arian,Foster,2010,Houston,RB,24.0,Arian Foster,9.0,8.0,93.0,0.0,88.90000000000002,54.0,257.0,3.0,1.0,2.0,392.0,24.3,20.8,383.1,59.25
5,5,Chris,Johnson,2009,Tennessee,RB,24.0,Chris Johnson,62.0,43.0,260.0,1.0,69.4,251.0,1228.0,9.0,1.0,2.0,390.9,22.6,14.5,318.2,48.66
6,6,Christian,McCaffrey,2018,Carolina,RB,22.0,Christian McCaffrey,113.0,80.0,651.0,5.0,70.8,117.0,435.0,2.0,2.0,2.0,385.5,22.9,21.1,328.9,52.96
7,7,Todd,Gurley,2017,LA Rams,RB,23.0,Todd Gurley,48.75555555555555,36.644444444444446,286.84444444444443,0.0,76.03555555555555,263.84444444444443,948.8444444444444,7.155555555555556,2.2888888888888888,3.0,383.3,14.0,24.6,262.7,60.94
8,8,Alvin,Kamara,2020,New Orleans,RB,25.0,Alvin Kamara,99.7906976744186,81.0,594.3953488372093,2.046511627906977,81.26744186046511,179.02325581395348,827.0,8.13953488372093,2.953488372093023,4.0,378.0,28.1,21.6,370.9,60.38
9,9,Jamaal,Charles,2013,Kansas City,RB,27.0,Jamaal Charles,46.47058823529412,33.23529411764706,222.64705882352945,1.0,72.10000000000001,268.94117647058823,1425.1176470588234,4.705882352941177,4.764705882352941,6.0,378.0,13.2,26.6,319.3,50.74
10,10,Shaun,Alexander,2005,Seattle,RB,28.0,Shaun Alexander,45.0,29.33333333333333,211.66666666666663,3.333333333333333,64.06666666666666,344.0,1609.0,15.333333333333334,4.666666666666667,6.0,376.8,23.0,23.5,355.7,55.55
11,11,Jonathan,Taylor,2021,Indianapolis,RB,22.0,Jonathan Taylor,39.0,36.0,299.0,1.0,92.3,232.0,1169.0,11.0,1.0,2.0,373.0,27.9,22.9,383.6,55.87
