,First,Last,Year,Tm,Pos,Age,Player,Targets,Receptions,RecYards,RecTD,Ctch%,RushAtt,RushYards,RushTD,Fumbles,Experience,FantasyPoints
0,Rob,Gronkowski,2011,NWE,TE,22.0,Rob Gronkowski,59.0,42.0,546.0,10.0,71.2,0.0,0.0,0.0,1.0,2.0,330.9
1,Travis,Kelce,2018,KAN,TE,29.0,Travis Kelce,120.2608695652174,83.69565217391305,1068.2608695652175,6.608695652173913,69.6,1.6521739130434785,2.8260869565217392,0.0,0.0,6.0,294.6
2,Zach,Ertz,2018,PHI,TE,28.0,Zach Ertz,108.66666666666669,75.33333333333333,821.3333333333334,6.666666666666667,69.39999999999999,0.0,0.0,0.0,0.6666666666666666,6.0,280.3
3,Jimmy,Graham,2011,NOR,TE,25.0,Jimmy Graham,44.0,31.0,356.0,5.0,70.5,1.0,3.0,0.0,1.0,2.0,294.0
4,Dallas,Clark,2009,IND,TE,30.0,Dallas Clark,105.0,70.66666666666667,770.6666666666666,7.666666666666667,67.13333333333334,0.6666666666666666,9.666666666666666,0.0,1.3333333333333333,7.0,271.70000000000005
5,Tony,Gonzalez,2008,KAN,TE,32.0,Tony Gonzalez,137.36170212765958,90.70212765957449,1085.1914893617022,5.0,66.45531914893617,0.0,0.0,0.0,0.3191489361702128,12.0,261.8
6,Travis,Kelce,2019,KAN,TE,30.0,Travis Kelce,141.06382978723406,96.61702127659576,1240.893617021277,9.361702127659576,68.47659574468085,0.6382978723404256,2.234042553191489,0.0,1.3617021276595744,7.0,254.3
7,Rob,Gronkowski,2014,NWE,TE,25.0,Rob Gronkowski,71.72,46.04,679.12,7.08,63.72,0.0,0.0,0.0,0.44,5.0,266.4
8,Antonio,Gates,2005,SDG,TE,25.0,Antonio Gates,90.0,62.0,772.3333333333334,9.333333333333334,66.43333333333334,0.0,0.0,0.0,0.3333333333333333,3.0,259.1
9,Jason,Witten,2007,DAL,TE,25.0,Jason Witten,89.66666666666667,64.66666666666667,755.0,2.6666666666666665,72.13333333333333,0.0,0.0,0.0,0.0,5.0,250.5
10,Tony,Gonzalez,2007,KAN,TE,31.0,Tony Gonzalez,108.17391304347828,74.73913043478261,901.7391304347826,3.9565217391304346,69.15652173913043,0.0,0.0,0.0,0.6521739130434783,11.0,246.2
11,George,Kittle,2018,SFO,TE,25.0,George Kittle,63.0,43.0,515.0,2.0,68.3,0.0,0.0,0.0,0.0,2.0,256.7
12,Jason,Witten,2012,DAL,TE,30.0,Jason Witten,120.66666666666669,84.0,962.0,6.333333333333333,69.46666666666667,0.0,0.0,0.0,1.0,10.0,231.9
13,Jason,Witten,2010,DAL,TE,28.0,Jason Witten,123.0,89.66666666666667,1004.0,2.6666666666666665,72.83333333333333,0.0,0.0,0.0,0.0,8.0,246.2
14,Hubert,Walker,2015,TEN,TE,31.0,Delanie Walker,99.33333333333331,62.0,783.6666666666666,4.666666666666667,62.86666666666667,0.0,0.0,0.0,1.6666666666666667,10.0,242.4
15,Jordan,Reed,2015,WAS,TE,25.0,Jordan Reed,63.25806451612903,48.54838709677419,474.8709677419355,0.8709677419354839,76.7258064516129,0.2903225806451613,5.225806451612903,0.0,0.7096774193548387,3.0,244.2
16,Vernon,Davis,2009,SFO,TE,25.0,Vernon Davis,59.95652173913044,37.391304347826086,403.9565217391304,2.608695652173913,62.6608695652174,0.6956521739130435,7.6521739130434785,0.0,1.6956521739130437,4.0,252.5
17,Rob,Gronkowski,2015,NWE,TE,26.0,Rob Gronkowski,118.70270270270272,73.86486486486487,1023.3513513513514,10.486486486486486,61.93783783783783,0.0,0.0,0.0,0.0,6.0,255.6
18,Tony,Gonzalez,2012,ATL,TE,36.0,Tony Gonzalez,113.33333333333331,76.66666666666667,802.0,6.666666666666667,67.60000000000001,0.0,0.0,0.0,0.0,16.0,234.0
19,Jimmy,Graham,2012,NOR,TE,26.0,Jimmy Graham,115.48936170212764,77.29787234042553,1005.531914893617,9.085106382978724,67.70851063829788,0.3191489361702128,0.9574468085106383,0.0,1.0,3.0,237.2
20,Antonio,Gates,2009,SDG,TE,29.0,Antonio Gates,100.33333333333331,65.0,797.3333333333334,8.333333333333334,64.83333333333333,0.0,0.0,0.0,0.6666666666666666,7.0,242.7
21,Travis,Kelce,2017,KAN,TE,28.0,Travis Kelce,112.33333333333331,80.66666666666667,1041.6666666666667,4.333333333333333,71.7,0.6666666666666666,-3.333333333333333,0.0,0.6666666666666666,5.0,233.5
22,Travis,Kelce,2022,KAN,TE,32.0,Travis Kelce,137.51063829787233,96.14893617021276,1217.872340425532,9.638297872340424,69.8808510638298,1.3617021276595744,2.042553191489361,0.6808510638297872,1.0,10.0,316.3
23,Gary,Barnidge,2015,CLE,TE,30.0,Gary Barnidge,22.33333333333333,13.0,144.95238095238096,0.7619047619047619,59.69523809523809,0.0,0.0,0.0,0.0,7.0,237.3
24,Jimmy,Graham,2014,NOR,TE,28.0,Jimmy Graham,139.7659574468085,85.68085106382979,1140.6382978723404,13.76595744680851,61.36595744680851,0.0,0.0,0.0,0.3191489361702128,5.0,229.9
25,Travis,Kelce,2020,KAN,TE,31.0,Travis Kelce,140.66666666666666,99.0,1264.6666666666667,6.666666666666667,70.43333333333334,0.6666666666666666,2.6666666666666665,0.6666666666666666,1.3333333333333333,8.0,313.0
26,Darren,Waller,2019,OAK,TE,27.0,Darren Waller,6.0,6.0,75.0,0.0,100.0,1.0,21.0,0.0,0.0,4.0,221.0
27,Martellus,Bennett,2014,CHI,TE,27.0,Martellus Bennett,92.33333333333331,61.66666666666666,714.6666666666666,5.0,66.66666666666667,0.0,0.0,0.0,0.6666666666666666,7.0,217.6
28,George,Kittle,2019,SFO,TE,26.0,George Kittle,112.70212765957449,73.63829787234043,1101.893617021277,4.042553191489362,65.84893617021277,0.6808510638297872,6.808510638297872,0.0,0.0,3.0,222.5
29,Travis,Kelce,2016,KAN,TE,27.0,Travis Kelce,97.66666666666669,70.33333333333333,870.6666666666666,5.0,72.26666666666667,0.0,0.0,0.0,2.6666666666666665,4.0,221.0
30,Greg,Olsen,2014,CAR,TE,29.0,Greg Olsen,108.66666666666669,71.66666666666667,825.0,5.666666666666667,65.96666666666665,0.0,0.0,0.0,0.0,8.0,220.8
31,Greg,Olsen,2015,CAR,TE,30.0,Greg Olsen,119.0,80.33333333333333,944.0,6.0,67.46666666666665,0.0,0.0,0.0,0.6666666666666666,9.0,227.4
32,Jason,Witten,2009,DAL,TE,27.0,Jason Witten,127.66666666666669,86.0,1016.3333333333334,5.0,67.3,0.0,0.0,0.0,0.3333333333333333,7.0,209.0
33,Kellen,Winslow,2007,CLE,TE,24.0,Kellen Winslow,120.0,89.0,875.0,3.0,74.2,0.0,0.0,0.0,1.0,3.0,220.6
34,Antonio,Gates,2007,SDG,TE,27.0,Antonio Gates,126.38297872340424,76.74468085106383,980.4893617021276,9.319148936170214,60.60425531914894,0.0,0.0,0.0,0.0,5.0,227.4
35,Zach,Ertz,2019,PHI,TE,29.0,Zach Ertz,142.0,103.21739130434784,1059.8260869565215,8.0,72.23913043478261,0.0,0.0,0.0,1.0,7.0,213.6
36,Mark,Andrews,2021,BAL,TE,26.0,Mark Andrews,91.48837209302326,60.093023255813954,753.6744186046511,8.046511627906977,65.69069767441862,0.0,0.0,0.0,2.0,4.0,301.0
37,Tony,Gonzalez,2013,ATL,TE,37.0,Tony Gonzalez,121.33333333333331,88.66666666666667,911.6666666666666,7.666666666666667,73.0,0.0,0.0,0.0,0.0,17.0,216.9
38,Brent,Celek,2009,PHI,TE,24.0,Brent Celek,32.666666666666664,23.33333333333333,271.3333333333333,1.0,71.63333333333333,0.0,0.0,0.0,0.0,3.0,221.1
39,Rob,Gronkowski,2017,NWE,TE,28.0,Rob Gronkowski,77.6774193548387,47.74193548387097,847.741935483871,6.870967741935484,62.99354838709677,0.0,0.0,0.0,0.0,8.0,225.4
40,Jordan,Cameron,2013,CLE,TE,25.0,Jordan Cameron,34.0,16.88888888888889,183.11111111111111,0.7777777777777778,49.15555555555555,0.0,0.0,0.0,0.0,3.0,213.7
41,Aaron,Hernandez,2011,NWE,TE,22.0,Aaron Hernandez,64.0,45.0,563.0,6.0,70.3,3.0,47.0,0.0,0.0,2.0,214.5
42,Antonio,Gates,2014,SDG,TE,34.0,Antonio Gates,103.14893617021276,68.06382978723404,765.4042553191489,4.957446808510638,65.52127659574468,0.0,0.0,0.0,1.3617021276595744,12.0,223.1
43,Kyle,Rudolph,2016,MIN,TE,27.0,Kyle Rudolph,64.4390243902439,43.51219512195122,437.0487804878049,4.341463414634147,67.86829268292682,0.0,0.0,0.0,0.2195121951219512,6.0,209.0
44,Tony,Gonzalez,2011,ATL,TE,35.0,Tony Gonzalez,116.66666666666669,74.33333333333333,726.3333333333334,6.0,63.833333333333336,0.0,0.0,0.0,0.0,15.0,209.5
45,Tony,Gonzalez,2009,ATL,TE,33.0,Tony Gonzalez,154.33333333333334,97.0,1096.0,8.333333333333334,62.833333333333336,0.0,0.0,0.0,0.0,13.0,205.7
46,Antonio,Gates,2006,SDG,TE,26.0,Antonio Gates,131.33333333333334,86.33333333333333,1055.3333333333333,11.0,66.1,0.0,0.0,0.0,0.0,4.0,217.4
47,Eric,Ebron,2018,IND,TE,25.0,Eric Ebron,85.71111111111111,55.31111111111111,613.5777777777778,3.1333333333333333,64.54666666666667,0.2888888888888888,0.2888888888888888,0.2888888888888888,0.7111111111111111,5.0,222.2
48,Greg,Olsen,2016,CAR,TE,31.0,Greg Olsen,123.66666666666669,79.33333333333333,1072.0,6.666666666666667,64.16666666666667,0.0,0.0,0.0,1.0,10.0,205.3
49,Kellen,Winslow,2006,CLE,TE,23.0,Kellen Winslow,11.0,5.0,50.0,0.0,45.5,0.0,0.0,0.0,0.0,2.0,194.5
50,Jason,Witten,2008,DAL,TE,26.0,Jason Witten,124.0,85.33333333333333,1014.6666666666666,5.0,69.1,0.0,0.0,0.0,0.6666666666666666,6.0,201.88
51,Jason,Witten,2011,DAL,TE,29.0,Jason Witten,126.66666666666669,94.0,1011.3333333333334,6.666666666666667,74.2,0.0,0.0,0.0,0.6666666666666666,9.0,203.2
