,First,Last,Year,Tm,Pos,Age,Player,Targets,Receptions,RecYards,RecTD,Ctch%,RushAtt,RushYards,RushTD,Fumbles,Experience,FantasyPoints
0,Michael,Thomas,2019,NOR,WR,26.0,Michael Thomas,147.66666666666666,118.0,1351.6666666666667,7.666666666666667,79.93333333333334,0.0,0.0,0.0,1.3333333333333333,4.0,374.6
1,Antonio,Brown,2015,PIT,WR,27.0,Antonio Brown,176.33333333333334,122.66666666666669,1631.6666666666667,11.333333333333334,69.5,5.0,10.0,0.0,1.6666666666666667,6.0,378.2
2,Antonio,Brown,2014,PIT,WR,26.0,Antonio Brown,149.37777777777777,97.28888888888888,1293.3111111111111,7.133333333333334,64.86,7.0,9.77777777777778,0.0,1.8666666666666667,5.0,378.9
3,Julio,Jones,2015,ATL,WR,26.0,Julio Jones,148.14285714285714,95.0,1448.2857142857142,5.428571428571429,64.61428571428571,1.0,1.8571428571428568,0.0,2.0,5.0,369.1
4,Randy,Moss,2007,NWE,WR,30.0,Randy Moss,106.28571428571428,48.85714285714285,725.1904761904761,4.904761904761905,45.7047619047619,0.0,0.0,0.0,0.0,10.0,385.3
5,Calvin,Johnson,2012,DET,WR,27.0,Calvin Johnson,151.29787234042553,89.93617021276596,1501.957446808511,14.72340425531915,59.33191489361702,1.9574468085106385,17.70212765957447,0.0,1.0,6.0,342.4
6,Wes,Welker,2011,NWE,WR,30.0,Wes Welker,135.4090909090909,97.77272727272728,1007.0909090909092,6.045454545454546,71.80909090909091,1.5909090909090908,11.454545454545457,0.0,1.318181818181818,8.0,335.9
7,Calvin,Johnson,2011,DET,WR,26.0,Calvin Johnson,137.0,73.81818181818181,1076.7272727272727,9.772727272727272,53.877272727272725,4.954545454545454,45.04545454545455,0.0,1.6363636363636365,5.0,359.20000000000016
8,Brandon,Marshall,2012,CHI,WR,28.0,Brandon Marshall,142.52173913043478,82.52173913043478,1153.1304347826087,5.086956521739131,57.85652173913044,1.3043478260869563,9.956521739130435,0.0,1.3043478260869563,7.0,334.6
9,Demaryius,Thomas,2014,DEN,WR,27.0,Demaryius Thomas,142.33333333333334,92.66666666666669,1431.3333333333333,12.666666666666666,65.10000000000001,0.0,0.0,0.0,1.6666666666666667,5.0,338.9
10,DeAndre,Hopkins,2018,HOU,WR,26.0,DeAndre Hopkins,166.0,89.73913043478261,1230.5217391304348,9.869565217391305,53.98260869565217,0.0,0.0,0.0,0.6521739130434783,6.0,333.5
11,Brandon,Marshall,2015,NYJ,WR,31.0,Brandon Marshall,128.0952380952381,75.85714285714286,939.6666666666666,9.523809523809524,58.833333333333336,0.0,0.0,0.0,0.6190476190476191,10.0,339.2
12,Steve,Smith,2005,CAR,WR,26.0,Steve Smith,127.22222222222224,78.88888888888889,993.3333333333334,6.222222222222222,62.52222222222223,9.77777777777778,37.333333333333336,0.0,4.444444444444445,5.0,337.8
13,Michael,Thomas,2018,NOR,WR,25.0,Michael Thomas,140.06382978723406,100.17021276595744,1210.531914893617,6.276595744680851,71.77872340425532,0.0,0.0,0.0,0.6382978723404256,3.0,315.5
14,DeAndre,Hopkins,2015,HOU,WR,23.0,DeAndre Hopkins,115.0,68.0,1074.0,4.666666666666667,58.9,0.0,0.0,0.0,1.6666666666666667,3.0,329.1
15,Cooper,Kupp,2021,LAR,WR,28.0,Cooper Kupp,127.47826086956522,92.69565217391305,1039.0434782608695,5.434782608695652,72.77391304347826,3.3043478260869565,22.91304347826087,0.0,1.6956521739130437,5.0,440.0
16,Julio,Jones,2018,ATL,WR,29.0,Julio Jones,142.2173913043478,86.47826086956522,1433.3478260869565,3.9130434782608696,60.960869565217386,0.6956521739130435,10.434782608695652,0.0,0.0,8.0,325.9
17,Davante,Adams,2018,GNB,WR,26.0,Davante Adams,118.45454545454544,74.36363636363636,925.7272727272727,10.727272727272728,62.76363636363637,0.0,0.0,0.0,0.7272727272727273,5.0,327.6
18,Andre,Johnson,2008,HOU,WR,27.0,Andre Johnson,122.23529411764706,80.23529411764706,990.2941176470588,6.588235294117647,66.69411764705882,1.411764705882353,6.588235294117647,0.0,1.0,6.0,318.5
19,Antonio,Brown,2018,PIT,WR,30.0,Antonio Brown,159.86046511627907,102.74418604651164,1446.139534883721,10.046511627906977,64.37209302325581,1.0465116279069768,3.13953488372093,0.0,2.604651162790698,9.0,323.7
20,Roddy,White,2010,ATL,WR,29.0,Roddy White,159.33333333333334,86.0,1229.3333333333333,9.666666666666666,54.16666666666666,1.3333333333333333,2.6666666666666665,0.0,1.0,6.0,312.2
21,Jordy,Nelson,2014,GNB,WR,29.0,Jordy Nelson,112.27272727272728,75.18181818181819,1158.8181818181818,7.727272727272727,66.95454545454545,0.0,0.0,0.0,0.0,7.0,327.9
