,Unnamed: 0,First,Last,Year,Tm,Pos,Age,Player,Targets,Receptions,RecYards,RecTD,Ctch%,RushAtt,RushYards,RushTD,Fumbles,Experience,FantasyPoints,TeamPPG,teamOPPG,TeamYPG,TeamPassPct
0,0,Michael,Thomas,2019,New Orleans,WR,26.0,Michael Thomas,147.66666666666666,118.0,1351.6666666666667,7.666666666666667,79.93333333333334,0.0,0.0,0.0,1.3333333333333333,4.0,374.6,30.4,21.8,376.5,54.32
1,1,Antonio,Brown,2015,Pittsburgh,WR,27.0,Antonio Brown,176.33333333333334,122.66666666666669,1631.6666666666667,11.333333333333334,69.5,5.0,10.0,0.0,1.6666666666666667,6.0,378.2,26.6,23.4,409.6,61.23
2,2,Antonio,Brown,2014,Pittsburgh,WR,26.0,Antonio Brown,149.37777777777777,97.28888888888888,1293.3111111111111,7.133333333333334,64.86,7.0,9.77777777777778,0.0,1.8666666666666667,5.0,378.9,23.7,23.1,337.5,61.49
3,3,Julio,Jones,2015,Atlanta,WR,26.0,Julio Jones,148.14285714285714,95.0,1448.2857142857142,5.428571428571429,64.61428571428571,1.0,1.8571428571428568,0.0,2.0,5.0,369.1,23.8,26.1,378.2,64.06
4,4,Randy,Moss,2007,New England,WR,30.0,Randy Moss,106.28571428571428,48.85714285714285,725.1904761904761,4.904761904761905,45.7047619047619,0.0,0.0,0.0,0.0,10.0,385.3,25.3,16.4,335.4,53.85
5,5,Calvin,Johnson,2012,Detroit,WR,27.0,Calvin Johnson,151.29787234042553,89.93617021276596,1501.957446808511,14.72340425531915,59.33191489361702,1.9574468085106385,17.70212765957447,0.0,1.0,6.0,342.4,29.5,25.4,397.0,67.06
6,6,Wes,Welker,2011,New England,WR,30.0,Wes Welker,135.4090909090909,97.77272727272728,1007.0909090909092,6.045454545454546,71.80909090909091,1.5909090909090908,11.454545454545457,0.0,1.318181818181818,8.0,335.9,31.7,20.1,364.2,54.7
7,7,Calvin,Johnson,2011,Detroit,WR,26.0,Calvin Johnson,137.0,73.81818181818181,1076.7272727272727,9.772727272727272,53.877272727272725,4.954545454545454,45.04545454545455,0.0,1.6363636363636365,5.0,359.20000000000016,22.6,23.1,338.9,62.03
8,8,Brandon,Marshall,2012,Chicago,WR,28.0,Brandon Marshall,142.52173913043478,82.52173913043478,1153.1304347826087,5.086956521739131,57.85652173913044,1.3043478260869563,9.956521739130435,0.0,1.3043478260869563,7.0,334.6,22.1,21.3,314.1,53.37
9,9,Demaryius,Thomas,2014,Denver,WR,27.0,Demaryius Thomas,142.33333333333334,92.66666666666669,1431.3333333333333,12.666666666666666,65.10000000000001,0.0,0.0,0.0,1.6666666666666667,5.0,338.9,36.4,24.0,454.8,59.68
10,10,DeAndre,Hopkins,2018,Houston,WR,26.0,DeAndre Hopkins,166.0,89.73913043478261,1230.5217391304348,9.869565217391305,53.98260869565217,0.0,0.0,0.0,0.6521739130434783,6.0,333.5,21.1,27.3,320.0,56.38
11,11,Brandon,Marshall,2015,NY Jets,WR,31.0,Brandon Marshall,128.0952380952381,75.85714285714286,939.6666666666666,9.523809523809524,58.833333333333336,0.0,0.0,0.0,0.6190476190476191,10.0,339.2,17.7,25.1,326.6,51.81
12,12,Steve,Smith,2005,Carolina,WR,26.0,Steve Smith,127.22222222222224,78.88888888888889,993.3333333333334,6.222222222222222,62.52222222222223,9.77777777777778,37.333333333333336,0.0,4.444444444444445,5.0,337.8,22.2,21.2,326.6,57.42
13,13,Michael,Thomas,2018,New Orleans,WR,25.0,Michael Thomas,140.06382978723406,100.17021276595744,1210.531914893617,6.276595744680851,71.77872340425532,0.0,0.0,0.0,0.6382978723404256,3.0,315.5,27.9,21.2,390.4,56.37
14,14,DeAndre,Hopkins,2015,Houston,WR,23.0,DeAndre Hopkins,115.0,68.0,1074.0,4.666666666666667,58.9,0.0,0.0,0.0,1.6666666666666667,3.0,329.1,23.3,19.2,344.6,48.07
15,15,Cooper,Kupp,2021,LA Rams,WR,28.0,Cooper Kupp,127.47826086956522,92.69565217391305,1039.0434782608695,5.434782608695652,72.77391304347826,3.3043478260869565,22.91304347826087,0.0,1.6956521739130437,5.0,440.0,23.3,19.3,367.2,55.75
16,16,Julio,Jones,2018,Atlanta,WR,29.0,Julio Jones,142.2173913043478,86.47826086956522,1433.3478260869565,3.9130434782608696,60.960869565217386,0.6956521739130435,10.434782608695652,0.0,0.0,8.0,325.9,21.6,19.1,357.8,56.14
17,17,Davante,Adams,2018,Green Bay,WR,26.0,Davante Adams,118.45454545454544,74.36363636363636,925.7272727272727,10.727272727272728,62.76363636363637,0.0,0.0,0.0,0.7272727272727273,5.0,327.6,20.0,24.0,305.7,61.36
18,18,Andre,Johnson,2008,Houston,WR,27.0,Andre Johnson,122.23529411764706,80.23529411764706,990.2941176470588,6.588235294117647,66.69411764705882,1.411764705882353,6.588235294117647,0.0,1.0,6.0,318.5,23.7,24.0,333.6,56.92
