,First,Last,Year,Tm,Pos,Age,FantasyPoints,Player
0,Shaun,Alexander,2005,SEA,RB,28.0,376.8,Shaun Alexander
1,Larry,Johnson,2005,KAN,RB,26.0,360.3,Larry Johnson
2,LaDainian,Tomlinson,2005,SDG,RB,26.0,366.08,LaDainian Tomlinson
3,Tiki,Barber,2005,NYG,RB,30.0,357.0,Tiki Barber
4,Edgerrin,James,2005,IND,RB,27.0,310.3,Edgerrin James
6,Clinton,Portis,2005,WAS,RB,24.0,269.88,Clinton Portis
11,LaMont,Jordan,2005,OAK,RB,27.0,292.8,LaMont Jordan
12,Rudi,Johnson,2005,CIN,RB,26.0,249.8,Rudi Johnson
20,Thomas,Jones,2005,CHI,RB,27.0,223.8,Thomas Jones
23,Steven,Jackson,2005,STL,RB,22.0,233.6,Steven Jackson
28,Warrick,Dunn,2005,ATL,RB,30.0,214.6,Warrick Dunn
38,Willis,McGahee,2005,BUF,RB,24.0,198.5,Willis McGahee
39,Reuben,Droughns,2005,CLE,RB,27.0,209.1,Reuben Droughns
40,Willie,Parker,2005,PIT,RB,25.0,190.0,Willie Parker
42,Corey,Dillon,2005,NWE,RB,31.0,189.4,Corey Dillon
44,Domanick,Williams,2005,HOU,RB,25.0,204.3,Domanick Williams
45,Brian,Westbrook,2005,PHI,RB,26.0,226.3,Brian Westbrook
49,Cadillac,Williams,2005,TAM,RB,23.0,177.9,Cadillac Williams
52,Chris,Brown,2005,TEN,RB,24.0,178.8,Chris Brown
65,Julius,Jones,2005,DAL,RB,24.0,182.1,Julius Jones
66,Tatum,Bell,2005,DEN,RB,24.0,166.5,Tatum Bell
73,Ronnie,Brown,2005,MIA,RB,24.0,167.9,Ronnie Brown
75,DeShaun,Foster,2005,CAR,RB,25.0,175.10000000000005,DeShaun Foster
88,Jamal,Lewis,2005,BAL,RB,26.0,155.7,Jamal Lewis
90,Stephen,Davis,2005,CAR,RB,31.0,136.4,Stephen Davis
92,Ricky,Williams,2005,MIA,RB,28.0,134.6,Ricky Williams
93,Chris,Cooley,2005,WAS,RB,23.0,188.4,Chris Cooley
94,Mewelde,Moore,2005,MIN,RB,23.0,153.10000000000005,Mewelde Moore
98,Curtis,Martin,2005,NYJ,RB,32.0,137.3,Curtis Martin
104,Samkon,Gado,2005,GNB,RB,23.0,115.9,Samkon Gado
105,Priest,Holmes,2005,KAN,RB,32.0,127.8,Priest Holmes
106,Kevin,Jones,2005,DET,RB,23.0,127.3,Kevin Jones
109,Fred,Taylor,2005,JAX,RB,29.0,118.0,Fred Taylor
112,Kevan,Barlow,2005,SFO,RB,26.0,129.2,Kevan Barlow
118,Marion,Barber,2005,DAL,RB,22.0,113.3,Marion Barber
119,Jerome,Bettis,2005,PIT,RB,33.0,98.8,Jerome Bettis
121,T.J.,Duckett,2005,ATL,RB,24.0,94.3,T.J. Duckett
122,Frank,Gore,2005,SFO,RB,22.0,102.9,Frank Gore
125,Michael,Bennett,2005,MIN,RB,27.0,108.7,Michael Bennett
127,Antowain,Smith,2005,NOR,RB,33.0,96.5,Antowain Smith
128,Greg,Jones,2005,JAX,RB,24.0,98.0,Greg Jones
131,Michael,Pittman,2005,TAM,RB,30.0,121.6,Michael Pittman
137,Chester,Taylor,2005,BAL,RB,26.0,118.9,Chester Taylor
148,Mike,Alstott,2005,TAM,RB,32.0,97.2,Mike Alstott
150,Jonathan,Wells,2005,HOU,RB,26.0,96.4,Jonathan Wells
152,Chris,Perry,2005,CIN,RB,24.0,121.7,Chris Perry
156,Artose,Pinner,2005,DET,RB,27.0,92.0,Artose Pinner
157,Marcel,Shipp,2005,ARI,RB,27.0,99.6,Marcel Shipp
165,Marshall,Faulk,2005,STL,RB,32.0,106.3,Marshall Faulk
167,Shawn,Bryson,2005,DET,RB,29.0,100.0,Shawn Bryson
168,Tony,Fisher,2005,GNB,RB,26.0,112.56,Tony Fisher
169,Patrick,Pass,2005,NWE,RB,28.0,85.2,Patrick Pass
170,Aaron,Stecker,2005,NOR,RB,30.0,93.4,Aaron Stecker
