,First,Last,Year,Tm,Pos,Age,FantasyPoints,Player
7,Antonio,Gates,2005,SDG,TE,25.0,259.1,Antonio Gates
18,Jeremy,Shockey,2005,NYG,TE,25.0,196.1,Jeremy Shockey
22,Todd,Heap,2005,BAL,TE,25.0,200.5,Todd Heap
25,Alge,Crumpler,2005,ATL,TE,28.0,180.7,Alge Crumpler
30,Jason,Witten,2005,DAL,TE,23.0,177.7,Jason Witten
36,Tony,Gonzalez,2005,KAN,TE,29.0,180.5,Tony Gonzalez
53,Randy,McMichael,2005,MIA,TE,26.0,146.2,Randy McMichael
54,L.J.,Smith,2005,PHI,TE,25.0,145.2,L.J. Smith
58,Jerramy,Stevens,2005,SEA,TE,26.0,130.4,Jerramy Stevens
61,Heath,Miller,2005,PIT,TE,23.0,120.9,Heath Miller
71,Ben,Troupe,2005,TEN,TE,23.0,132.0,Ben Troupe
151,Dallas,Clark,2005,IND,TE,26.0,109.8,Dallas Clark
158,Marcus,Pollard,2005,DET,TE,33.0,113.6,Marcus Pollard
162,Ben,Watson,2005,NWE,TE,25.0,95.1,Ben Watson
166,Erron,Kinney,2005,TEN,TE,28.0,121.3,Erron Kinney
177,Jermaine,Wiggins,2005,MIN,TE,30.0,131.8,Jermaine Wiggins
185,Steve,Heiden,2005,CLE,TE,29.0,101.1,Steve Heiden
209,Alex,Smith,2005,TAM,TE,23.0,89.7,Alex Smith
210,Courtney,Anderson,2005,OAK,TE,25.0,72.3,Courtney Anderson
214,Zachary,Hilton,2005,NOR,TE,25.0,80.6,Zachary Hilton
222,Daniel,Graham,2005,NWE,TE,27.0,57.5,Daniel Graham
224,David,Martin,2005,GNB,TE,26.0,67.4,David Martin
229,Donald,Lee,2005,GNB,TE,25.0,74.4,Donald Lee
235,Bo,Scaife,2005,TEN,TE,24.0,76.3,Bo Scaife
238,Bryan,Fletcher,2005,IND,TE,26.0,56.2,Bryan Fletcher
239,Doug,Jolley,2005,NYJ,TE,26.0,65.4,Doug Jolley
244,Desmond,Clark,2005,CHI,TE,28.0,58.9,Desmond Clark
251,Chris,Baker,2005,NYJ,TE,26.0,50.9,Chris Baker
252,Adam,Bergen,2005,ARI,TE,22.0,61.0,Adam Bergen
257,Kris,Mangum,2005,CAR,TE,32.0,53.2,Kris Mangum
266,Michael,Gaines,2005,CAR,TE,25.0,39.5,Michael Gaines
270,Bubba,Franks,2005,GNB,TE,27.0,51.7,Bubba Franks
272,Matt,Schobel,2005,CIN,TE,27.0,41.3,Matt Schobel
290,George,Wrighster,2005,JAX,TE,24.0,37.0,George Wrighster
291,Stephen,Alexander,2005,DEN,TE,30.0,44.0,Stephen Alexander
294,Ernie,Conwell,2005,NOR,TE,33.0,33.5,Ernie Conwell
298,Kyle,Brady,2005,JAX,TE,33.0,35.7,Kyle Brady
303,Aaron,Shea,2005,CLE,TE,29.0,39.3,Aaron Shea
304,Daniel,Wilcox,2005,BAL,TE,28.0,41.4,Daniel Wilcox
313,Robert,Royal,2005,WAS,TE,26.0,37.1,Robert Royal
315,Christian,Fauria,2005,NWE,TE,34.0,25.7,Christian Fauria
316,Ben,Utecht,2005,IND,TE,24.0,20.9,Ben Utecht
318,Jim,Kleinsasser,2005,MIN,TE,28.0,39.1,Jim Kleinsasser
320,Marcellus,Rivers,2005,HOU,TE,27.0,40.8,Marcellus Rivers
330,Ryan,Hannam,2005,SEA,TE,25.0,27.9,Ryan Hannam
331,Reggie,Kelly,2005,CIN,TE,28.0,30.0,Reggie Kelly
337,Mark,Campbell,2005,BUF,TE,30.0,32.9,Mark Campbell
342,Mike,Bartrum,2005,PHI,TE,35.0,14.6,Mike Bartrum
351,Dwayne,Carswell,2005,DEN,TE,33.0,14.3,Dwayne Carswell
355,Anthony,Becht,2005,TAM,TE,28.0,27.2,Anthony Becht
356,Casey,Fitzsimmons,2005,DET,TE,25.0,20.5,Casey Fitzsimmons
369,Justin,Peelle,2005,SDG,TE,26.0,20.8,Justin Peelle
373,Dwayne,Blakley,2005,ATL,TE,26.0,13.0,Dwayne Blakley
