,First,Last,Year,Tm,Pos,Age,FantasyPoints,Player
5,Steve,Smith,2005,CAR,WR,26.0,337.8,Steve Smith
8,Larry,Fitzgerald,2005,ARI,WR,22.0,308.0,Larry Fitzgerald
9,Santana,Moss,2005,WAS,WR,26.0,284.0,Santana Moss
10,Chad,Johnson,2005,CIN,WR,27.0,297.5,Chad Johnson
13,Joey,Galloway,2005,TAM,WR,34.0,272.1,Joey Galloway
14,Anquan,Boldin,2005,ARI,WR,25.0,286.7,Anquan Boldin
15,Torry,Holt,2005,STL,WR,29.0,289.3,Torry Holt
16,Chris,Chambers,2005,MIA,WR,27.0,265.0,Chris Chambers
17,Marvin,Harrison,2005,IND,WR,33.0,268.6,Marvin Harrison
24,Hines,Ward,2005,PIT,WR,29.0,231.5,Hines Ward
26,Plaxico,Burress,2005,NYG,WR,28.0,237.4,Plaxico Burress
29,Terry,Glenn,2005,DAL,WR,31.0,223.2,Terry Glenn
32,Donald,Driver,2005,GNB,WR,30.0,239.4,Donald Driver
33,T.J.,Houshmandzadeh,2005,CIN,WR,28.0,225.8,T.J. Houshmandzadeh
34,Randy,Moss,2005,OAK,WR,28.0,208.5,Randy Moss
35,Rod,Smith,2005,DEN,WR,35.0,228.2,Rod Smith
37,Keenan,McCardell,2005,SDG,WR,35.0,216.3,Keenan McCardell
41,Eddie,Kennison,2005,KAN,WR,32.0,210.5,Eddie Kennison
46,Jimmy,Smith,2005,JAX,WR,36.0,208.3,Jimmy Smith
47,Reggie,Wayne,2005,IND,WR,27.0,218.5,Reggie Wayne
48,Donte',Stallworth,2005,NOR,WR,25.0,204.7,Donte' Stallworth
55,Deion,Branch,2005,NWE,WR,26.0,207.8,Deion Branch
56,Joe,Jurevicius,2005,SEA,WR,31.0,184.4,Joe Jurevicius
63,Derrick,Mason,2005,BAL,WR,31.0,209.3,Derrick Mason
64,Antonio,Bryant,2005,CLE,WR,24.0,192.2,Antonio Bryant
67,Jerry,Porter,2005,OAK,WR,27.0,199.4,Jerry Porter
69,Kevin,Curtis,2005,STL,WR,27.0,180.6,Kevin Curtis
70,Keyshawn,Johnson,2005,DAL,WR,33.0,185.2,Keyshawn Johnson
72,Lee,Evans,2005,BUF,WR,24.0,168.10000000000005,Lee Evans
96,Roy,Williams,2005,DET,WR,24.0,161.7,Roy Williams
97,Laveranues,Coles,2005,NYJ,WR,28.0,187.5,Laveranues Coles
99,Terrell,Owens,2005,PHI,WR,32.0,159.5,Terrell Owens
102,Amani,Toomer,2005,NYG,WR,31.0,170.4,Amani Toomer
103,Ernest,Wilford,2005,JAX,WR,26.0,151.1,Ernest Wilford
107,Eric,Moulds,2005,BUF,WR,32.0,186.6,Eric Moulds
110,Brandon,Lloyd,2005,SFO,WR,24.0,149.3,Brandon Lloyd
113,Muhsin,Muhammad,2005,CHI,WR,32.0,163.0,Muhsin Muhammad
114,Drew,Bennett,2005,TEN,WR,27.0,156.10000000000005,Drew Bennett
115,Bobby,Engram,2005,SEA,WR,32.0,158.8,Bobby Engram
117,Eric,Parker,2005,SDG,WR,26.0,151.0,Eric Parker
124,Ashley,Lelie,2005,DEN,WR,25.0,133.4,Ashley Lelie
129,Marty,Booker,2005,MIA,WR,29.0,125.6,Marty Booker
